Bestand;Name;Symbol;Kurs;Anteil in %;Abs.Perf. % 3 Jahre;Einstandspreis;Marktwert;Gewinn / Verlust;ISIN;Einstandskurs**
"";Gesamtsumme;;;100,00;;4.304,34;4.297,96;-6,38;;
"";Ohne Klassifizierung;;;100,00;;4.304,34;4.297,96;-6,38;;
1;ASML HOLDING    EO -,09;ASME;522,50;12,16;-8,14%;568,80;522,50;-46,30;NL0010273215;562,40
1;META PLATF.  A DL-,000006;FB;166,60;3,88;-1,30%;168,80;166,60;-2,20;US30303M1027;168,80
2;AIRBNB INC.     DL-,01;6Z1.DE;102,08;4,75;-31,12%;296,40;204,16;-92,24;US0090661010;148,20
30;Alibaba Group HLDG;KYG017191142.SG;12,42;8,67;17,08%;318,24;372,60;54,36;;10,61
5;AMAZON.COM INC.    DL-,01;AMZN;120,00;13,96;4,22%;575,70;600,00;24,30;US0231351067;113,86
9;HALMA PLC          LS-,10;H11.SG;26,60;5,57;-10,74%;268,20;239,40;-28,80;GB0004052071;29,80
6;D.R.HORTON;HO2.F;73,89;10,32;10,80%;400,14;443,34;43,20;US23331A1097;66,69
1;THERMO FISH.SCIENTIF.DL 1;TMO;561,54;13,07;6,92%;525,20;561,54;36,34;US8835561023;518,80
2;APPLE INC.;AAPL;151,12;7,03;0,71%;300,72;302,24;1,52;US0378331005;150,36
6;PAYPAL HDGS INC.DL-,0001;PYPL;79,68;11,12;0,30%;476,64;478,08;1,44;US70450Y1038;79,44
10;TENCENT HLDGS   HD-,00002;NNND.SG;40,75;9,48;0,70%;405,50;407,50;2,00;KYG875721634;40,55
"";Gesamtsumme;;;100,00;;4.304,34;4.297,96;-6,38;;
