Ticker,Sector,Industry,Country,Region
TMO,Healthcare,Diagnostics & Research,United States,North America
AAPL,Technology,Consumer Electronics,United States,North America
FRE.DE,Healthcare,Medical Care Facilities,Germany,Europe
AVGO,Technology,Semiconductors,United States,North America
PYPL,Financial Services,Credit Services,United States,North America
JPM,Financial Services,Banks-Diversified,United States,North America
HO2.F,Consumer Cyclical,Residential Construction,United States,North America
FB,Communication Services,Internet Content & Information,United States,North America
AMZN,Consumer Cyclical,Internet Retail,United States,North America
H6D0.F,Healthcare,Drug Manufacturers-Specialty & Generic,United Kingdom,Europe
GS7.DE,Healthcare,Drug Manufacturers-General,United Kingdom,Europe
OXY,Energy,Oil & Gas E&P,United States,North America
ASML,Technology,Semiconductor Equipment & Materials,Netherlands,Europe
